courseName,courseSubject,courseNumber
L. Jacques Ménard BMO Centre for Capital Markets, , 
Engineering Industrial Experience Reflective Learning III,ENGR,308
HVAC Control Systems,BLDG,6741
Engineering Industrial Experience Work Term III,ENGR,307
Applied Evolutionary and Learning Algorithms,COEN,6321
Statistics Lab II,STAT,388
Religions of Asia,RELI,215
Chamber Ensemble I,MPER,321
Microwave Engineering,ELEC,6391
Mapping the Environment,GEOG,260
Intermediate Multimedia,JOUR,209
Practicum in Pastoral  Care,THEO,404
Community Development I,AHSC,443
John Molson Graduate Investment Club , , 
"Testing, Evaluation, and Course Design",TESL,415
Internship in Youth and Family Work,AHSC,436
Independent Study I,FBRS,451
Analytical Methods in Urban Studies,URBS,260
"Introduction to Physical Activity, Health and Fitness",EXCI,252
Child Studies Seminar: Inclusive Practices in Childhood Settings,EDUC,463
Community University Television - Concordia, , 
Introduction to Digital Communications,ELEC,367
E-Marketing,MARK,452
Internship Seminar,TESL,488
Special Topics in Print Media,PRIN,498
Advanced Materials,MECH,6501
Introductory Italian: Intensive,ITAL,200
Movement for the Stage ll,ACTT,321
MBA Research Projects,MBA,654
Software Quality Assurance,INSE,6260
Radio Newsroom,JOUR,330
Gestion de projets,FTRA,555
Field Schools, , 
Processes in Digital Print Media II,PRIN,341
Geomedia and the Geoweb,GEOG,466
Introduction to Open Systems Theory,AHSC,675
Engineering Industrial Experience Work Term I,ENGR,107
Informatique et traduction Co-listé : FTRA 536,FTRA,636
Introduction to Contemporary Concerns in Women’s Studies,WSDB ,291
Cross-linguistic Influence,APLI,634
Digital Systems Design I,COEN,212
Propaganda,COMS,361
Introduction to Sexuality Research,SSDB,275
Special Topics in Print Media,PRIN,399
Supervised Internship II,MUSI ,482
Modelling and Analysis of Telecommunications Networks,ELEC,6171
Special Topics in Drawing,DRAW ,498
Quantitative Human Systems Physiology,PHYS,663
Community Recreation Planning,AHSC,371
Introduction to Metaphysics,PHIL,265
Finite Element Method in Machine Design,MECH,6671
Marketing Management,EMBA,612
Advanced Reporting,JOUR,505
Video Processing and Compression,ELEC,6631
Directed and Independent Study III,SCOL,490
Life in the Round: Drawing the Figure from Observation II,DRAW ,418
Independent Study I,CERA,451
Intermedia and Interventionist Performance Practices,IMCA,331
High Strength Materials,MECH,6561
Special Topics in Design for the Theatre: Realization,DFTT,398
Social Economy & Sustainable Futures,SOCI,450
Jazz Choir II,JPER ,325
Enterprise Resources Planning and Technology Integration,BTM,430
Fault-Tolerant Distributed Systems,COEN,6721
ASIC Synthesis,COEN,6531
Management of Financial Institutions,FINA,481
 Quantitative Research Methods ,POLI,393
Introduction to Drawing,DRAW ,201
Introductory German II,GERM,202
Assurance and Professional Practice,ACCO,654
Building Science,BLDG,365
Foundations of Distance Education,ETEC,681
Independent Study I,DFTT,305
Screen Printing I,PRIN,231
Parallel Programming,COMP,428
Master of Applied Science Research and Thesis,ENGR,8901
Special Topics in Acting,ACTT,399
Bioinformatics,BIOL,510
Choir II,MPER,332
Site-specific Performance Practice,PERC,386
Self-Managed Learning,AHSC,225
Karl Polanyi Institute of Political Economy, , 
Marketing Management,MBA,644
Global Experience,EMBA,625
Advanced Seminar in Archaeology,CLAS,470
Flight Control Systems,MECH,6091
Real-Time Computer Control Systems,ELEC,483
Principles of Systems Engineering,INSE,6400
Research Methods in Irish Studies,IRST,300
Set Design Conception,DFTT,331
Selected Topics in Public History,HIST,387
Biotechnology and Genomics Laboratory,BIOL,515
Short Term Financial Management,FINA,402
Mechanical Engineering Design Project,MECH,390
Death and Dying,RELI,378
Intaglio III ,PRIN,411
Behaviour of Power Systems,ELEC,434
John Molson MBA Case Competition Committee, , 
Painting and Popular Culture I,PTNG,310
Applied Econometrics,ECON,423
Traduction automatique (TA) et traduction assistée par ordinateur (TAO),FTRA,452
Administering Educational Technology Groups,ETEC,671
Traduction littéraire avancée : de l’anglais au français,FTRA,402
Proseminar 3: Oral Traditions as Methodology,FPST,497
Mathematical and Computational Finance I ,MACF,402
Big Band I,JPER,223
Research Methods,APLI,660
Professional Internship I,FBRS,481
Thermal Analysis of Buildings,BLDG,476
Mechanical Behaviour of Polymer Composite Materials,MECH,6581
Organization Development 1,AHSC,332
Field Practice,LIBS,495
Special Topics in Drawing ,DRAW ,499
Research Experience in Exercise Science,EXCI,323
Independent Study in Print Media I,PRIN,471
Artificial Intelligence,COMP,472
Religion in Practice,RELI,210
Building Illumination,BLDG,6731
Special Topics in Performance Creation,PERC,398
Concordia E-Sports Student Association, , 
Capstone Computer Engineering Design Project,COEN,490
Economics for Organizational Decision Making,MBA,645
Computer ScienceIndustrial Experience Reflective Learning I,COMP,108
Simulation of Industrial Systems,INDU,311
Contemporary Relief and Woodcut II,PRIN,391
Foundation Engineering,CIVI,6501
Advanced Electromagnetics,ELEC,6301
Special Topics in Print Media ,PRIN,499
Decision Models in Service Sector,INDU,6151
Cost and Management Accounting,ACCO,330
Loyola Sustainability Research Centre, , 
Advanced Elements of Production,DFTT,470
Hillel Concordia, , 
Advanced Operations Research,INDU,6121
Advanced Workshop in Photography,PHOT,400
Communication Media: Special Topics,COMS,393
Quantitative Research Methods,URBS,362
Operational Performance of Aircraft,MECH,6241
Concordia Real Estate Club, , 
Topics in Fibre Structures,FBRS,397
Applied Field Project II,EMBA,645
Advanced Statistical Approaches to Quality,INSE,6220
Qualitative Methods of Inquiry,CHST,606
Consumer Behaviour,MARK,671
Community Youth Development,AHSC,530
Drawing for the Theatre,DFTT,211
Journalism Practicum,JOUR,450
Safety Engineering,INDU,410
Introduction to Artificial Intelligence,COMP,6721
Public Policy and the Politics of Equality,POLI,328
MBA Surgical Innovation II,MBA,662
Étude avancée d’un sujet particulier,FTRA,499
Basic Population Ecology,BIOL,351
Research Methods,AHSC,631
Telecommunications Networks,ELEC,6851
Étude avancée d’un sujet particulier,FTRA,598
Critical Museology (also listed as HIST 670),HIST,498
Evaluating Adult Learning Projects,ADED,345
Thesis Research,HIST,890
Field Methods,GEOL,216
Design of Integrated Circuit Components,ELEC,6231
Film in History,HIST,281
Aspects of Print Media,PRIN,381
Drawing II,DRAW ,300
Database Applications in Building and Civil Engineering,BLDG,6151
Experimental Physics I,PHYS,230
Independent Study I,PTNG,471
La Francofête, , 
Introduction to Ethics,PHIL,232
Principles of Electrical Engineering,ELEC,275
Canadian Students for Sensible Drug Policy, , 
Quality Methodologies for Software,INSE,6250
Introduction to Analog VLSI,ELEC,423
John Molson Undergraduate Case Competition (JMUCC), , 
"Seminar in Creative Writing: Prose Fiction, Poetry and Drama ",ENGL,674
Digital Communications,ELEC,6831
Educational Gaming and Modeling,ETEC,637
Enactus Concordia, , 
Advanced Top/Biotechnology: Synthetic Biology and Industrial Applications,BIOL,631
General Chemistry II,CHEM,206
APC Practicum II: Child,PSYC,710
Integrative Project,LOYC,420
Practicum A,AHSC,690
Painting I,PTNG,200
Information Retrieval and Web Search,COMP,479
Computer-Aided Mechanical Design,MECH,6451
Econometric Theory II,ECON,681 (lab)
Technical Communication,ENCS,282
Detection and Estimation Theory,ELEC,6111
Advanced Acting Studio,ACTT,450
Special Topics in Contemporary Studio Arts Practice,ARTX,399
Otaku Anime of Concordia University, , 
Independent Studies,ENGL,480
Internship in Geography,GEOG ,490
Rédaction avancée,FRAA,523
Finite Element Analysis,MECH,460
Advanced Topics in Public History,HIST,481
Intermediate Textile Printing and Dyeing,FBRS,361
Microtransducer Process Technology,ELEC,6251
APC Practicum IV: Child,PSYC,828
Statistical Analysis and Experimental Design,PSYC,601
Indigenous Spirituality,THEO,243
Kinesiology and Clinical Exercise Physiology Internship II,KCEP ,483
Behavioral Finance,FINA,416
Elements of Multimedia Conception,DFTT,341
Food and Religion,RELI,396
National Bank Initiative in Entrepreneurship and Family Business, , 
"Narration, Time, Stories II ",DRAW ,410
Controlled Electric Drives,ELEC,440
Principles of Electrical Engineering,ELEC,275
Urban History Laboratory,HIST,390
Aboriginal CED: Part II,SCPA,537
Laboratory Studies in Biodiversity,BIOL,227
Elements of Multimedia Realization,DFTT,345
Financial Reporting in Practice,ACCO,650
Computational Chemistry for Chemists and Biochemists,CHEM,431
Movement for the Stage lll,ACTT,358
"Assessment, Interpretation, and Rehabilitation in Neuromuscular Physiology",KCEP ,349
Studio/Seminar in Painting and Drawing,PTNG,320
Creative Process I,DANC,201
Field Course in EA,ENVS,664
Descriptive and Instrumental Phonetics,LING,372
Strategies in Action (Case Competition),MBA,659
Introduction to Teaching English as a Second Language,TESL,201
Advanced Java Platforms,INSE,6100
Digital Sculpture,SCUL,396
Project Management,BTM,480
Introduction to Inclusive Practices,EDUC,360
Comparative Animal Physiology,BIOL,382
Digital Filters,ELEC,6611
Health Issues: Feminist Perspectives,WSDB ,391
Digital Innovation in Journalism,JOUR,605
Language Awareness,APLI,636
Master of Applied Science Research and Thesis,INSE,8901
Operating Systems,COMP,5461
Technology Policy Immersion,ENCS,691
Power Electronics II,ELEC,6461
International Case Competition - Executive Assistant,MBA,657
Scriptwriting for the Media,COMS,507
Visual Journalism Photo Editing,JOUR,531
Greenhouse Gases and Control,CIVI,6691
Terminologie et mondialisation,FTRA,411
Intermediate Integrated Studio in Contemporary Art Practices,ARTX,380
John Molson Supply Chain and Business Technology Association, , 
Design of Wireless RF Systems,ELEC,6371
Introduction to International Relations,POLI ,205
Painting and Popular Culture II,PTNG,410
Condensed Matter Physics II,PHYS,637
Fundamentals of Control Systems,ELEC,372
Rehabilitation of the Upper and Lower Extremities,CATA,339
Présentation du mémoire,FLIT,690
Special Topics in Performance Creation,PERC,399
History and the Graphic Novel,HIST,338
Play in Childhood Settings,EDUC,304
John Molson Women in Leadership (JMWL), , 
Decision Analysis,BLDG,6581
"Traduction littéraire avancée
Co-listé : FTRA 544 ou 545",FTRA,614
Applied Language Studies,APLI,604
Dynamics of Foundations,CIVI,7031
Machine Learning,COMP,6321
Advanced Network Management,INSE,7120
"Topics in Statistics (Topic in 2020, 2021 - Reinforcement Learning)",STAT,497
Computer Organization and Software,COEN,311
Statistical Consulting and Data Analysis,STAT,480
Special Topics in Intermedia,IMCA,398
Research Methods,POLI,644
Black‑and‑White Photography I,PHOT,211
Canadian Economic Policy and Institutions,ECON,318
Angels and Demons in Judaism,RELI,390
Control System Design,MECH,473
Workshops on Social Science Research Methods,POLI,480
Directing 1,PERC,311
Extramural Practicum III: Child,PSYC,843
Ethics and Community Engagement,SSDB,425
Introduction to Modern Standard Arabic II,MARA,206
Honours Research Project,ENGR,412
Sculpture as Practice,SCUL,410
Independent Study,AHSC,599
People’s Potato, , 
Supervised Internship I,EAST,481
Communication Media: Intermedia III,COMS,475
Inorganic Chemistry I: Introduction to Periodicity and Valence Theory,CHEM,241
